CSV,package,date,diff_commits,same_lines,right_files,added_lines,different_files,different_lines,same_files,removed_lines,common_files,common_lines,right_lines,left_files,normal_effort,diff_files,equal_lines,left_lines
CSV,acl:2.2.48-1,20090825T110258Z,81,5988,34,2314,117,3494,59,1993,59,13858,890,30,54,85,7870,1791
CSV,bash:3.2-4,20080513T000000Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-11,20141007T221402Z,17,92090,86,148083,545,140745,641,105477,641,585096,27930,2,6,501,493006,1
CSV,bash:4.4~rc1-1,20160314T033346Z,0,761109,0,0,0,0,1228,0,1228,761109,0,0,1,0,0,0
CSV,git:1:2.0~next.20131230-1,20140104T040354Z,9045,146280,336,143765,1333,178249,1422,82016,1422,565873,114219,75,2699,1128,419593,16498
CSV,git:1:2.5.0+next.20150727-1,20150728T222424Z,4054,223576,161,102589,982,104200,1895,64412,1895,687084,36507,53,1166,875,463508,4893
CSV,openssl:1.0.1t-1+deb8u5,20160923T202119Z,5196,4433,435,95777,1782,243217,163,117832,163,385742,98716,594,2203,1268,381309,174110
CSV,openssl:1.0.2d-2,20150908T213435Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,acl:2.2.45-1,20070916T000000Z,142,646,42,3627,161,5441,9,3054,9,10970,1900,35,89,123,10324,2301
CSV,bash:3.2-5,20090301T220322Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-10,20140930T222649Z,20,91640,86,148179,546,140801,640,105493,640,585000,27930,2,8,502,493360,1
CSV,git:1:1.8.5~rc3-1,20131122T035106Z,9208,139990,344,147611,1365,181450,1391,83881,1391,561511,114735,84,2749,1151,421521,16673
CSV,git:1:2.1.4-2.1+deb8u2,20160319T151142Z,5713,169081,246,137776,1203,147166,1632,80121,1632,617857,70073,56,1604,1052,448776,6363
CSV,openssl:1.0.1t-1+deb8u4,20160922T165618Z,5196,4433,435,95777,1782,243217,163,117832,163,385742,98716,594,2203,1268,381309,174110
CSV,openssl:1.0.2d-3,20151101T213643Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,bash:3.2-6,20090801T192339Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.2-1~exp1,20110911T211512Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-13,20150727T034022Z,8,92091,85,147993,544,140705,642,105488,642,585187,27929,1,4,501,493096,1
CSV,bluez:4.34-0exp1,20090503T154338Z,17544,1594,211,29086,220,75657,13,10849,13,34070,95691,76,5672,77,32476,15688
CSV,git:1:1.7.0.5-2~dbg0,20100423T161332Z,22994,27343,643,158114,1568,210407,475,69931,475,268170,132903,279,7232,1107,240827,59867
CSV,git:1:2.1.4-2.1+deb8u1,20160105T205136Z,5713,169081,246,137776,1203,147166,1632,80121,1632,617857,70073,56,1604,1052,448776,6363
CSV,openssl:1.0.2i-1,20160922T223930Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,acl:2.2.32-1,20051012T000000Z,177,646,45,2840,160,5481,9,2289,9,10691,2966,35,114,120,10045,2867
CSV,bash:4.3-12,20150128T222235Z,14,92090,86,148032,545,140731,641,105499,641,585147,27930,2,5,501,493057,1
CSV,git:1:1.7.7.3-1,20111116T221300Z,17434,54951,650,143505,1639,250829,835,78434,835,385839,267981,110,5332,1259,330888,11738
CSV,git:1:1.7.9.5-1,20120328T215857Z,16185,61508,575,141085,1581,244950,952,77369,952,403525,258316,103,4920,1242,342017,13130
CSV,git:1:2.0~next.20140318-1,20140320T042639Z,8386,151809,298,146872,1318,165444,1455,85721,1455,588562,90009,63,2470,1138,436753,8286
CSV,git:1:2.6.3+next.20151204-1,20151209T105533Z,2867,251443,108,82998,883,83008,2024,48720,2024,718944,29724,50,801,804,467501,4575
CSV,openssl:1.0.2d-1,20150709T214436Z,5195,4433,435,95776,1782,243216,163,117831,163,385743,98716,594,2203,1268,381310,174110
CSV,acl:2.2.26-1,20050312T000000Z,187,646,47,3103,159,5750,9,1666,9,10010,3384,36,123,118,9364,3347
CSV,bash:4.3-15,20160623T222133Z,1,92091,85,147953,543,140683,642,105485,642,585227,27929,0,2,501,493136,0
CSV,git:1:1.7.9-1,20120130T213156Z,16720,60977,582,142670,1587,246290,943,78120,943,401528,258728,104,5096,1244,340551,13063
CSV,git:1:2.1.0~rc1-1,20140806T043619Z,7137,167144,262,133789,1218,150836,1609,77156,1609,607549,84368,56,2110,1059,440405,6360
CSV,git:1:2.7.0~rc3-1,20160105T041901Z,2533,255123,106,81352,881,74622,2027,47482,2027,734426,15888,50,714,803,479303,4522
CSV,git:4.3.20-11,20070517T000000Z,41591,1151,1296,80326,979,215466,13,21370,13,22759,298651,142,14822,260,21608,30586
CSV,openssl:1.0.1j-1,20141016T091205Z,7041,1391,507,253074,1812,412081,73,249387,73,171520,136158,721,3172,1198,170129,185544
CSV,openssl:1.0.1t-1+deb8u1,20160519T044723Z,5196,4433,435,95777,1782,243217,163,117832,163,385742,98716,594,2203,1268,381309,174110
CSV,bash:2.01.1-4,20090802T004153Z,113,1622,595,168737,721,211859,38,54406,38,87222,185217,109,42,369,85600,15359
CSV,bash:3.2-1,20080211T000000Z,6,92091,85,147978,543,140697,642,105488,642,585202,27929,0,3,501,493111,0
CSV,bash:4.3-14,20150901T034109Z,5,92091,85,147974,543,140695,642,105488,642,585206,27929,0,3,501,493115,0
CSV,bluez:4.63-1,20100427T160839Z,16814,2145,180,29453,229,73622,20,11559,20,41949,83093,93,5366,93,39804,23139
CSV,git:1:1.7.9~rc0-1,20120109T152825Z,16813,60806,586,142893,1589,246595,939,78230,939,401029,259004,104,5129,1244,340223,13063
CSV,git:1:1.8.3.2-1,20130702T094107Z,10648,113224,402,159481,1437,200097,1259,85333,1259,517976,138432,96,3217,1188,404752,16949
CSV,git:1:2.0~next.20140214-2,20140226T100705Z,8609,149135,303,148242,1327,166809,1444,86332,1444,586502,90699,64,2552,1144,437367,8345
CSV,git:1:2.0~next.20140415-1,20140417T044142Z,8202,155109,302,145736,1301,164252,1509,84719,1509,590278,89692,63,2415,1119,435169,8357
CSV,git:1:2.5.0+next.20150803-1,20150811T033940Z,4137,222033,163,102550,988,106272,1888,64221,1888,683725,39905,54,1175,880,461692,5868
CSV,git:1:1.7.7.1-1,20111025T225936Z,17547,54715,657,143931,1641,251352,829,78689,829,385047,268347,110,5365,1258,330332,11738
